data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7793515,231,ETH5937,5937,2/11/21,2021,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Tigray,Central Tigray,Axum town,Aksum,14.1234,38.7313,1,Undisclosed Source,Local partner-Other,"On 11 February 2021, protests that began in Mekelle the previous day (coded separately) spread to Aksum (Southern Tigray, Tigray). Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",0,1618490677,ETH
7793518,231,ETH5938,5938,2/11/21,2021,1,Protests,Peaceful protest,Protesters (Ethiopia),,6,,,0,60,Eastern Africa,Ethiopia,Tigray,Mekelle Tigray,Mekelle,Mekele,13.5,39.4667,1,Undisclosed Source,Local partner-Other,"On 11 February 2021, protests that began the previous day (coded separately) continued in Mekele city (Southern Tigray, Tigray region). Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",0,1618490678,ETH
7786870,231,ETH5939,5939,2/11/21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Eastern Africa,Ethiopia,Benshangul/Gumuz,Asosa,Sherkole,Sherkole,10.6688,34.8322,1,Undisclosed Source,Local partner-Other,"On 11 February 2021, unidentified armed men attacked a bus traveling in Sherkole Wereda (Assosa zone, Benishangul/Gumz). One person was killed, with several others injured.",1,1618490680,ETH
7708822,231,ETH5952,5952,2/11/21,2021,1,Battles,Armed clash,Wogdi Communal Militia (Ethiopia),,4,Gumuz Ethnic Militia (Ethiopia),,4,44,Eastern Africa,Ethiopia,Benshangul/Gumuz,Metekel,Wenbera,Wembera,10.5667,35.55,2,Undisclosed Source,Local partner-Other,"On 11 February 2021, fighting erupted between local militias and suspected Gumuz gunmen in Wogdi kebele, (Wembera, Metekel). No further details reported.",0,1618490690,ETH
7757283,231,ETH6027,6027,2/11/21,2021,2,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Tigray,Eastern Tigray,Wukro town,Wikro,13.7919,39.5991,1,AFP,International,"Around 11 February 2021 (week of), Ethiopian soldiers shot and killed 18 people in Wikro (Eastern Tigray, Tigray).",18,1618490716,ETH
7682802,231,ETH5940,5940,2/11/21,2021,1,Riots,Violent demonstration,Rioters (Ethiopia),,5,Military Forces of Ethiopia (2018-),,1,15,Eastern Africa,Ethiopia,Tigray,North Western Tigray,Tahtay Koraro,Shire,14.1383,38.2833,1,BBC News,International,"On 11 February 2021, demonstrators in Shire (Western Tigray, Tigray) clashed with federal troops who advanced to disperse crowds. Two demonstrators were killed by federal forces. Demonstrations were called after a delegation of religious and political leaders arrived in the city following military operations, with residents denouncing the military operations and subsequent food shortages. [size=no report]",2,1618490719,ETH
7792643,231,ETH6415,6415,2/10/21,2021,3,Battles,Armed clash,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-),1,TPLF: Tigray Peoples Liberation Front,Tigray Ethnic Militia (Ethiopia),3,13,Eastern Africa,Ethiopia,Tigray,South Eastern Tigray,Saharti,Gijet,13.3226,39.1744,2,University of Ghent Tigray Conflict Atlas,Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Gijet (South Eastern, Tigray).",0,1618490722,ETH
7792398,231,ETH6395,6395,2/10/21,2021,3,Battles,Armed clash,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-),1,TPLF: Tigray Peoples Liberation Front,Tigray Ethnic Militia (Ethiopia),3,13,Eastern Africa,Ethiopia,Tigray,South Eastern Tigray,Samre,Adi Hibubla,13.1983,39.1803,2,University of Ghent Tigray Conflict Atlas,Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Adi Hibubla (South Eastern, Tigray).",0,1618490723,ETH
7792403,231,ETH6389,6389,2/10/21,2021,3,Battles,Armed clash,Military Forces of Ethiopia (2018-),Military Forces of Eritrea (1993-),1,TPLF: Tigray Peoples Liberation Front,Tigray Ethnic Militia (Ethiopia),3,13,Eastern Africa,Ethiopia,Tigray,Central Tigray,Endafelasi,Addi Felassie,13.8333,38.8833,2,University of Ghent Tigray Conflict Atlas,Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Addi Felassie (Central Tigray, Tigray).",0,1617652753,ETH
7792662,231,ETH6402,6402,2/10/21,2021,3,Battles,Armed clash,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces; Military Forces of Eritrea (1993-),1,TPLF: Tigray Peoples Liberation Front,Tigray Ethnic Militia (Ethiopia),3,13,Eastern Africa,Ethiopia,Tigray,South Eastern Tigray,Samre,Berezba,13.0456,39.2589,2,University of Ghent Tigray Conflict Atlas,Other,"Around 10 February 2021 (month of), the occurrence of conflict across Tigray was ongoing from Nov 4 2020 and into 2021. The details of the exact events are not known, but active conflict locations were discerned via field interviews. ACLED recorded the dates of the ongoing early conflict to represent the ongoing violence. All locations affected by violence are repeated for Feb 10 and Feb 20. These are estimates of the ongoing and repeated clashes between the ENDF/EDF and the Tigrayan forces, represented by TPLF/TDF. Event reportedly occurred in or around Berezba (South Eastern, Tigray).",0,1618490726,ETH
